City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,aasiaat,68.7098,-52.8699,3.69,100,81,2.95,GL,1681623238
83,aykhal,66.0,111.5,26.47,87,100,19.93,RU,1681623238
84,sitka,57.0531,-135.33,40.89,75,75,13.8,US,1681623066
85,port augusta,-32.5,137.7667,66.43,37,7,13.15,AU,1681623238
86,wailua homesteads,22.0669,-159.378,73.83,84,40,17.27,US,1681623238
87,ribeira grande,38.5167,-28.7,63.77,84,19,21.0,PT,1681623238
88,lichuan,30.3,108.85,77.45,40,0,7.36,CN,1681623238
89,chibougamau,49.9168,-74.3659,44.22,53,0,8.05,CA,1681623238
90,whitehorse,60.7161,-135.0538,34.57,69,40,11.5,CA,1681623239
91,ingeniero jacobacci,-41.3427,-69.5448,46.22,51,0,7.05,AR,1681623239
92,petropavlovsk-kamchatsky,53.0452,158.6483,36.19,70,75,2.24,RU,1681623239
93,freetown,8.484,-13.2299,79.34,89,85,6.02,SL,1681623239
94,arraial do cabo,-22.9661,-42.0278,73.8,85,19,5.44,BR,1681623131
95,kodiak,57.79,-152.4072,33.31,86,100,16.11,US,1681623196
96,santa ana,33.7456,-117.8678,60.71,83,0,3.44,US,1681623022
97,nova vodolaha,49.7185,35.8708,44.49,64,52,14.94,UA,1681623239
98,hawaiian paradise park,19.5933,-154.9731,72.91,92,20,0.0,US,1681623239
99,hovd,48.0056,91.6419,58.17,19,21,31.47,MN,1681623239
100,limbe,4.0242,9.2149,78.53,85,74,3.04,CM,1681623239
101,olonkinbyen,70.9221,-8.7187,34.83,97,100,9.66,SJ,1681623239
102,westport,41.1415,-73.3579,62.15,91,100,3.0,US,1681623035
103,remire-montjoly,4.9167,-52.2667,75.24,100,75,0.0,GF,1681623240
104,mushie,-3.0167,16.9,72.79,93,99,2.98,CD,1681623240
105,aswan,24.0934,32.907,70.9,23,0,9.22,EG,1681623240
106,katabu,-4.9333,122.5167,80.89,87,70,2.71,ID,1681623240
107,uturoa,-16.7333,-151.4333,82.26,71,27,11.21,PF,1681623240
108,savastepe,39.3832,27.6561,47.86,64,98,3.09,TR,1681623240
109,invercargill,-46.4,168.35,53.02,82,57,1.99,NZ,1681623126
110,albany,42.6001,-73.9662,63.23,87,82,4.74,US,1681623241
111,kendari,-3.945,122.4989,84.74,75,98,2.75,ID,1681623241
112,fort mcmurray,56.7268,-111.381,42.39,48,0,9.22,CA,1681623241
113,camacupa,-12.0167,17.4833,60.66,76,100,2.91,AO,1681623242
114,boguchany,58.3814,97.4531,25.72,53,99,4.92,RU,1681623242
115,leava,-14.3,-178.1667,82.92,74,76,5.5,WF,1681623242
116,pisco,-13.7,-76.2167,75.25,73,75,6.91,PE,1681623242
117,vadso,70.0744,29.7487,35.76,55,12,3.44,NO,1681623242
118,catania,37.5021,15.0872,56.48,78,75,6.91,IT,1681623100
119,prado,-17.3411,-39.2208,73.65,92,54,7.2,BR,1681623243
120,muynoq,43.7683,59.0214,43.16,48,73,26.33,UZ,1681623243
121,lebu,-37.6167,-73.65,52.16,90,3,14.99,CL,1681623243
122,chlumec nad cidlinou,50.1544,15.4603,48.58,84,100,0.74,CZ,1681623243
123,brookings,44.3114,-96.7984,33.19,87,100,20.71,US,1681623161
124,luau,-10.7073,22.2247,65.1,95,100,5.82,AO,1681623244
125,shalqar,47.8333,59.6,29.08,92,100,27.58,KZ,1681623244
126,fort st. john,56.2499,-120.8529,44.49,42,75,2.3,CA,1681623244
127,udachny,66.4167,112.4,32.45,39,99,18.23,RU,1681623244
128,port mathurin,-19.6833,63.4167,79.18,78,100,16.87,MU,1681623245
129,saint-pierre,-21.3393,55.4781,83.88,65,0,2.3,RE,1681623245
130,san miguel,13.4833,-88.1833,77.97,78,2,1.99,SV,1681623245
131,al bardiyah,31.7561,25.0865,62.55,76,92,11.97,LY,1681623245
132,ancud,-41.8697,-73.8203,44.53,89,0,3.8,CL,1681623245
133,burang,30.25,81.1667,36.99,44,1,5.35,CN,1681623246
134,kayangel,8.0823,134.7173,83.68,71,44,11.99,PW,1681623246
135,coahuayana de hidalgo,18.7,-103.6583,73.4,68,19,3.29,MX,1681623246
136,port blair,11.6667,92.75,88.66,58,95,5.21,IN,1681623246
137,batamshinskiy,50.5594,58.2747,23.02,74,100,23.47,KZ,1681623246
138,inarajan village,13.2736,144.7484,88.0,83,60,17.27,GU,1681623246
139,badger,64.8,-147.5333,33.71,53,40,6.91,US,1681623247
140,north bondi,-33.8824,151.2769,77.88,40,0,18.41,AU,1681623247
141,turpan,42.9333,89.1667,83.37,19,71,2.93,CN,1681623247
142,geraldton,-28.7667,114.6,79.21,24,42,4.61,AU,1681623247
143,novodvinsk,64.4165,40.8122,28.15,77,99,2.64,RU,1681623247
144,bonthe,7.5264,-12.505,79.34,89,94,4.99,SL,1681623248
145,micheweni,-4.9667,39.8333,81.32,79,82,9.78,TZ,1681623248
146,arno,60.1167,18.6333,35.78,87,2,9.26,SE,1681623248
147,west island,-12.1568,96.8225,84.18,65,100,17.27,CC,1681623248
148,jacobina,-11.1806,-40.5183,63.23,66,18,2.15,BR,1681623249
149,black forest,39.0131,-104.7008,29.34,80,0,5.75,US,1681623249
150,port elizabeth,-33.918,25.5701,56.32,83,0,3.44,ZA,1681623249
151,mossel bay,-34.1831,22.146,48.13,68,6,4.92,ZA,1681623249
152,nova bana,48.4231,18.6404,46.35,87,100,2.13,SK,1681623249
153,howrah,22.5892,88.3103,100.4,41,40,0.0,IN,1681623250
154,coracora,-15.0333,-73.7833,49.46,88,99,1.34,PE,1681623251
155,atafu village,-8.5421,-172.5159,83.37,71,39,2.26,TK,1681623251
156,glace bay,46.1969,-59.957,37.89,76,75,2.3,CA,1681623251
157,valparaiso,-33.0393,-71.6273,58.64,67,75,2.3,CL,1681623160
158,al khums,32.6486,14.2619,64.02,46,1,21.81,LY,1681623252
159,kingston,17.997,-76.7936,77.95,88,20,4.61,JM,1681623056
160,ad dabbah,18.05,30.95,85.17,10,85,13.0,SD,1681623252
161,laguna,38.421,-121.4238,59.31,70,0,5.75,US,1681623252
162,polyarnyy,69.1989,33.4478,30.06,85,12,8.39,RU,1681623253
163,northam,51.0333,-4.2167,49.6,85,100,8.7,GB,1681623253
164,hermanus,-34.4187,19.2345,54.81,73,0,9.42,ZA,1681623253
165,flying fish cove,-10.4217,105.6791,78.48,94,75,5.75,CX,1681623254
166,zheleznogorsk-ilimskiy,56.5768,104.1217,26.56,50,73,1.45,RU,1681623254
167,jianshui,23.6363,102.8264,90.12,22,12,9.33,CN,1681623254
168,zouerate,22.7187,-12.4521,74.46,36,1,8.23,MR,1681623254
169,daru,-9.0763,143.2092,82.92,76,54,3.83,PG,1681623255
170,kerouane,9.2667,-9.0167,72.88,75,71,4.29,GN,1681623255
171,hamilton,39.1834,-84.5333,66.24,70,75,6.91,US,1681623040
172,tomohon,1.3346,124.8392,83.34,70,39,2.82,ID,1681623256
173,campina verde,-19.5356,-49.4864,68.31,87,78,3.42,BR,1681623256
174,dunedin,-45.8742,170.5036,55.36,92,19,11.81,NZ,1681623053
175,lan krabue,16.6,99.8489,100.83,28,28,4.25,TH,1681623256
176,mayya,61.7333,130.2811,40.32,98,72,8.05,RU,1681623257
177,east london,-33.0153,27.9116,54.54,76,0,9.22,ZA,1681623257
178,point fortin,10.1833,-61.6833,77.9,80,65,9.51,TT,1681622958
179,santo augusto,-27.8508,-53.7772,63.5,93,88,6.55,BR,1681623257
180,sola,-13.8833,167.55,81.68,75,100,21.09,VU,1681623257
181,porto novo,6.4965,2.6036,78.55,88,97,1.79,BJ,1681623257
182,masingbi,8.7833,-11.95,77.72,91,72,0.58,SL,1681623258
183,saipan,15.1355,145.701,88.5,100,20,18.41,MP,1681623259
184,ljusdal,61.8288,16.0913,32.32,79,96,1.23,SE,1681623259
185,hirara,24.8,125.2833,80.87,57,0,9.22,JP,1681623259
186,jinka,5.65,36.65,69.42,74,52,2.62,ET,1681623259
187,enewetak,11.3474,162.3373,80.91,79,92,21.81,MH,1681623259
188,klyuchi,52.2667,79.1667,28.47,59,35,9.35,RU,1681623259
189,cozumel,20.5083,-86.9458,78.87,83,0,0.0,MX,1681623260
190,grajau,-5.8194,-46.1386,72.82,96,100,1.5,BR,1681623260
191,tazovsky,67.4667,78.7,0.14,80,85,21.34,RU,1681623162
192,sandnessjoen,66.0217,12.6316,40.64,74,100,1.99,NO,1681623261
193,labrador city,52.9463,-66.9114,12.11,85,20,2.3,CA,1681623010
194,fort portal,0.6617,30.2748,64.81,89,100,2.39,UG,1681623261
195,balsas,-7.5325,-46.0356,75.22,83,87,0.76,BR,1681623261
196,bereeda,11.8704,51.0579,86.05,57,2,9.48,SO,1681623261
197,burley,42.5357,-113.7928,42.3,59,0,0.0,US,1681623261
198,tsiombe,-25.3,45.4833,77.0,51,46,8.84,MG,1681623261
199,pasuquin,18.3328,120.6177,89.55,66,100,9.22,PH,1681623261
200,broken hill,-31.95,141.4333,63.45,37,0,16.4,AU,1681623262
201,ljungby,56.8332,13.9408,41.61,71,95,6.58,SE,1681623262
202,sisimiut,66.9395,-53.6735,17.11,82,6,9.48,GL,1681623262
203,egilsstadir,65.2653,-14.3948,38.34,91,97,4.56,IS,1681623262
204,nabburg,49.4536,12.1786,44.74,99,100,1.54,DE,1681623262
205,long beach,33.767,-118.1892,59.16,85,0,3.44,US,1681623116
206,guerrero,17.6667,-100.0,72.54,33,63,4.56,MX,1681623263
207,pelabuhanratu,-6.9875,106.5514,84.99,69,48,5.88,ID,1681623263
208,kupang,-10.1667,123.5833,91.98,66,75,12.66,ID,1681623264
209,guangyuan,32.442,105.823,84.38,41,1,7.7,CN,1681623264
210,sunyani,7.3399,-2.3268,71.82,97,88,3.49,GH,1681623264
211,mendi,-6.1761,143.6513,62.38,88,97,3.22,PG,1681623265
212,i-n-salah,27.1935,2.4607,70.45,15,0,8.32,DZ,1681623265
213,guerrero negro,27.9769,-114.0611,56.7,84,0,11.61,MX,1681623266
214,kandhkot,28.244,69.1824,102.45,17,29,8.72,PK,1681623266
215,qujing,25.4833,103.7833,84.24,19,48,16.89,CN,1681623266
216,mandalgovi,45.7625,106.2708,61.39,24,75,23.38,MN,1681623266
217,utica,43.1009,-75.2327,63.48,85,74,3.47,US,1681622883
218,chifeng,42.2683,118.9636,56.44,16,22,2.59,CN,1681623266
219,gaspe,48.8334,-64.4819,34.02,75,100,0.0,CA,1681623267
220,nurota,40.5614,65.6886,66.38,24,19,18.92,UZ,1681623267
221,mil'kovo,55.6078,37.7956,41.14,42,100,8.68,RU,1681623268
222,shahpura,27.3833,75.9667,97.86,14,53,10.02,IN,1681623268
223,pitimbu,-7.4706,-34.8086,77.59,84,99,9.98,BR,1681623268
224,gebeit,21.0667,36.3167,80.65,17,3,9.13,SD,1681623268
